sample_id,roast_level,origin,batch_id,run_id,MQ135_slope,MQ135_std,MQ8_max,MQ8_mean,MQ8_min,MQ8_range,MQ8_slope,MQ8_std,MQ9_slope,MQ9_std,TGS2602_delta,TGS2602_max,TGS2602_mean,TGS2602_min,TGS2602_range,TGS2602_slope,TGS2602_std,TGS2611_delta,TGS2611_max,TGS2611_range,TGS2611_slope,TGS2611_std,TGS2620_max,TGS2620_mean,TGS2620_min,TGS2620_range,TGS2620_slope,TGS2620_std,TGS813_max,TGS813_mean,TGS813_range,TGS813_slope,TGS813_std,TGS816_max,TGS816_mean,TGS816_min,TGS816_range,TGS816_slope,TGS816_std,TGS822_max,TGS822_mean,TGS822_min,TGS822_range,TGS822_slope,TGS822_std,is_outlier_run,n_outlier_feats
L-MER,light,Arabika Merapi,B01,1,-0.0972365402224348,5.643833393123491,16393.0,15699.227777777778,13318.0,3075.0,0.8501198596664505,526.1939212871082,-0.0760928835252116,4.697675640631334,615.0,9591.0,8910.427777777777,8301.0,1290.0,-0.982339989917384,199.11199595599865,355.0,8341.0,355.0,1.9009362428881549,99.46771729865844,10247.0,9530.955555555556,8865.0,1382.0,-1.9631017418233072,242.21839773972636,17027.0,15816.455555555556,1988.0,-6.553589102544317,477.559745856807,14665.0,14034.083333333334,12570.0,2095.0,-0.99393911334712,343.4915834152199,16186.0,13898.044444444444,8572.0,7614.0,-4.664979371791311,1250.315874378612,False,0
L-MER,light,Arabika Merapi,B01,2,-0.0002438346862557,2.05446479020146,15659.0,15471.472222222224,14194.0,1465.0,3.0876374785229994,305.239908037467,-0.0067707851065362,1.5407862753700512,384.0,9244.0,9099.733333333334,8724.0,520.0,-0.0890541889152957,73.66128126459584,146.0,8585.0,146.0,0.7223803203802586,38.09806354246774,9738.0,9612.711111111112,9022.0,716.0,0.5627622251715586,120.1064001703782,15149.0,14825.644444444444,1162.0,-0.4546971614350241,220.2317373254544,14140.0,13985.483333333334,13051.0,1089.0,1.750176445775075,203.4581882292819,13930.0,13074.983333333334,9147.0,4783.0,4.26628085228968,820.8307310926812,True,2
L-MER,light,Arabika Merapi,B01,3,-0.0929339382902764,5.324582555626515,15460.0,15176.216666666667,14357.0,1103.0,-0.4797462884656933,163.2269310058441,-0.1080424292930851,5.952908516126013,245.0,9422.0,9187.805555555557,8936.0,486.0,-0.4712480837885942,72.61977947637968,52.0,8698.0,52.0,0.2407018735146146,13.059995018929966,9869.0,9644.883333333331,9257.0,612.0,-0.4977365556550098,90.61258159954431,14761.0,14475.761111111113,1081.0,-0.275155611798718,172.28550307147418,14125.0,13921.56111111111,13314.0,811.0,-0.2996790024383468,115.96571270810266,13476.0,12300.083333333334,9329.0,4147.0,-1.8860921633383736,576.8006818098544,False,0
L-MER,light,Arabika Merapi,B01,4,-0.0576283218617858,3.705696287915992,15555.0,15436.43888888889,13979.0,1576.0,2.7751237178102204,306.470922620999,-0.056303178081628,3.271279948514316,243.0,9510.0,9219.58888888889,8962.0,548.0,-1.1180262765311682,100.20826295889466,29.0,8747.0,29.0,0.052019095239565,4.638284936357187,9946.0,9721.522222222222,9217.0,729.0,-0.5751905923022315,122.46036666144428,14905.0,14777.005555555555,1440.0,2.1067800446515834,288.95559375878867,14179.0,14051.577777777778,13164.0,1015.0,0.4722573741987922,180.565157324792,13912.0,13138.961111111112,9041.0,4871.0,3.3503739827360883,806.0328421431001,False,0
L-MER,light,Arabika Merapi,B01,5,-0.0405238844820313,2.839269714903197,15408.0,15209.844444444445,14116.0,1292.0,1.6775661800261323,256.1414985655373,-0.0324855705423006,2.257885004320953,218.0,9244.0,9063.511111111113,8791.0,453.0,-0.9363251952220748,87.899669118608,-55.0,8714.0,61.0,-0.3457761042007469,18.53054250653748,9713.0,9518.077777777778,9050.0,663.0,-0.4516929534862188,118.98154664468568,14852.0,14622.694444444443,1265.0,1.5510797658363942,256.56741623812763,13952.0,13751.877777777778,13028.0,924.0,0.2018375052727966,169.44189213614382,13512.0,12763.533333333333,9451.0,4061.0,2.46268506229616,713.1152633136874,False,0
L-MER,light,Arabika Merapi,B01,6,-0.0413469551529368,3.0314920639972343,15261.0,15157.766666666666,13995.0,1266.0,1.886101422883422,247.48839146637675,-0.0396133625523421,2.4965463419476595,251.0,9231.0,8991.233333333334,8723.0,508.0,-0.8283794767328209,86.06637038781084,-100.0,8634.0,112.0,-0.6608691626284762,34.755677786850015,9636.0,9426.633333333331,8958.0,678.0,-0.6508554790785723,114.53222327187125,14793.0,14633.727777777778,1202.0,1.149546796711833,231.30044865522152,13753.0,13634.277777777776,12870.0,883.0,0.3310390238381842,156.21436552069767,13464.0,12860.211111111112,9559.0,3905.0,2.0788604586561283,668.6275444310853,False,0
L-MER,light,Arabika Merapi,B01,7,-0.027303311830612,2.10214043617638,15067.0,14931.711111111112,14044.0,1023.0,1.1708653559266229,169.28718413938586,-0.028711791516199,2.1726460966877497,376.0,9363.0,9170.488888888887,8865.0,498.0,0.1263536940440548,69.41265874672474,-46.0,8527.0,68.0,-0.3950749508729693,21.59941934870281,9714.0,9564.994444444445,9083.0,631.0,0.5282333816887352,91.80855093524404,14837.0,14707.68888888889,998.0,1.58088418366822,178.54265061363913,13792.0,13691.55,12987.0,805.0,1.1594339331460846,127.35856543611088,13055.0,12209.58888888889,9566.0,3489.0,0.9523318620945096,510.2339236655024,False,0
L-MER,light,Arabika Merapi,B01,8,-0.0016389394734405,1.1793142596038717,14793.0,14701.333333333334,13955.0,838.0,1.0434478430404228,143.49153713390305,-0.0017161023488379,1.2008170196109034,239.0,9451.0,9277.461111111112,9057.0,394.0,0.01170097842526,56.49505479805848,-10.0,8452.0,26.0,-0.1152010864532856,7.779782485282709,9772.0,9651.044444444444,9279.0,493.0,0.3648260748788542,73.70618268240067,14857.0,14738.122222222222,835.0,1.321736267580275,148.5022677461876,13813.0,13725.127777777778,13178.0,635.0,0.8945821373087647,100.98946405334937,12397.0,11752.35,9396.0,3001.0,0.9847762791032648,455.1922238071792,False,0
L-MER,light,Arabika Merapi,B01,9,-0.0095980328610965,1.3036143233943494,14652.0,14541.022222222222,13859.0,793.0,0.4948979906787246,120.7174065362746,-0.0136876652571581,1.7690700773421857,35.0,9529.0,9364.394444444444,9218.0,311.0,-0.8892980236015514,61.5845240320025,6.0,8447.0,15.0,0.049190818646666,3.3308929614363545,9844.0,9725.866666666669,9447.0,397.0,-0.6444375855221867,70.48272501215929,14880.0,14791.85,693.0,0.3051729991666408,117.53865286024474,13837.0,13771.777777777776,13303.0,534.0,-0.0828502937333456,86.62482874977586,12329.0,11495.983333333334,9333.0,2996.0,0.9204491908186464,397.8825024478834,False,0
L-MER,light,Arabika Merapi,B01,10,-0.0138018663127462,1.6727542455435171,15017.0,14839.716666666667,13684.0,1333.0,2.7127431916622937,230.1128767225328,-0.008193668528864,1.6314719755338132,130.0,9607.0,9285.505555555555,9094.0,513.0,-1.122910172124654,92.95337313891264,-50.0,8426.0,53.0,-0.3278866631686162,17.367696206128777,9940.0,9683.95,9284.0,656.0,-0.4451978970544358,95.53783508621542,15122.0,14978.138888888889,1072.0,1.5989824788830929,190.6559615797769,13984.0,13830.255555555555,13145.0,839.0,0.559268290173565,124.20712212607,13229.0,12368.444444444443,9327.0,3902.0,2.577756515118779,568.0963430589009,False,0
