feature,overall_mean,overall_std,cv,p_kruskal,p_anova,significant
MQ8_slope,1.5741273826605164,2.919013944408548,1.8543695857832023,0.0018683033747626987,8.174583652355616e-06,True
TGS816_slope,0.36184649768417787,2.5672733827696828,7.094923930742291,0.0031881032741892168,9.978301604616904e-06,True
TGS816_min,13883.222222222223,1307.2164787855309,0.09415800293775003,0.003217378158192272,0.012198226596088255,True
TGS2602_min,9247.122222222222,582.6854767939068,0.06301262844710359,0.0041958792536800175,0.043908298067410464,True
MQ9_std,2.162768573763419,1.288491036820457,0.59576001420374,0.0044915578394938436,0.08380617821451757,True
MQ9_var,6.328553671447716,10.767970924185713,1.7014900214982214,0.004491582819105873,0.27257339641051576,True
TGS2620_slope,-0.5260853858815215,2.2964423148397954,4.365151308331193,0.005127461323159416,1.2910745512092699e-05,True
TGS822_var,739064.2669116044,544100.5943272791,0.7362020039217446,0.006156649430683729,0.014060871335363823,True
TGS822_std,795.0725246872178,327.90438833196646,0.4124207266004468,0.006156649430683729,0.011060896085534379,True
TGS2602_delta,267.1666666666667,201.09036574518117,0.7526776010396575,0.007138252065448502,0.008850314641579145,True
TGS813_median,15386.044444444444,1402.6659266996796,0.09116481703691294,0.007163348966932508,0.001261222936896273,True
TGS2611_delta,25.916666666666668,148.25822539288686,5.7205746130096315,0.007624726813952844,0.009859674840263333,True
TGS2602_initial,9260.316666666668,602.8113417041445,0.06509619091903762,0.007686255373709487,0.04866786347445847,True
MQ135_std,2.5041021469110945,1.2670552924916356,0.505991855623224,0.007980302144444536,0.05884494291345721,True
MQ135_var,7.867037625761198,12.090233424496844,1.5368216091111166,0.007980302144444536,0.1682495728391059,True
TGS2611_slope,0.0815775122972876,0.7677871821364829,9.411750261845887,0.011072413681707215,0.017603238660268798,True
TGS813_final,15330.716666666667,1373.0839581559646,0.0895642381247153,0.012672126297317635,0.002303153038599204,True
TGS2611_var,1712.7269889083605,7018.998672283727,4.0981421544325185,0.01385728939879813,0.05037256700704552,True
TGS2611_std,27.060767037810617,31.399350393777414,1.1603274345011874,0.01385728939879813,0.002130537795156752,True
MQ9_range,9.833333333333334,4.901829552411411,0.4984911408725003,0.01393890534326983,0.07174854606831285,True
TGS2611_range,96.26666666666667,118.22715565890745,1.2281214230368351,0.014382787820470607,0.0012450422006732174,True
MQ135_range,12.227777777777778,4.809012204818739,0.3932858686036263,0.014656719186079166,0.04719804932469983,True
MQ9_delta,-3.8722222222222222,6.083249788972514,1.570997075656059,0.034311844221517264,0.08629462796733142,True
TGS2611_final,8692.894444444444,1033.64075590094,0.1189063967711482,0.0420691083503127,0.0026497704839646384,True
TGS2611_max,8729.488888888889,1037.506774502424,0.11885080417742092,0.04586644055056399,0.003677687280401174,True
TGS822_range,3930.527777777778,1698.6607061902653,0.43217114907408527,0.04677451219051223,0.03504356855132264,True
TGS2600_delta,-3.638888888888889,6.1841063980895905,1.6994490860308786,0.047359974714896204,0.3088783746196403,True
TGS2600_slope,-0.023415719855887727,0.03491612625917829,1.4911403528454201,0.05147133406261324,0.16383025558535025,False
TGS813_initial,14393.005555555555,1738.268208044275,0.12077173188981367,0.051895312940203255,0.014813398648232513,False
MQ135_delta,0.7444444444444445,6.475671896048797,8.698663729276298,0.05340556857937091,0.044738649921060046,False
TGS813_min,14343.016666666666,1726.5550175916637,0.12037600302062514,0.05358331970531827,0.014485786104235069,False
MQ135_max,2835.722222222222,35.621388270205166,0.012561663477136276,0.07179780756516267,0.08017241139820462,False
TGS2611_median,8692.230555555556,1029.5624896094762,0.11844629327639299,0.07716931645732833,0.003732062822266811,False
MQ135_initial,2827.2555555555555,35.862730568428724,0.012684644123501957,0.07944940874693034,0.07709966681836988,False
MQ135_mean,2829.816269354069,34.0226423337978,0.012022915657895962,0.08384190275307636,0.1081931546162963,False
MQ135_final,2828.0,32.074111107744756,0.011341623446864716,0.08810291111854904,0.12796216374947555,False
MQ135_median,2829.6944444444443,34.05903472000269,0.012036294161321537,0.08961831559174946,0.11608582243063717,False
TGS2611_mean,8689.675925243844,1029.9559850370676,0.1185263977503335,0.08997013735839078,0.004064790052555934,False
MQ135_auc,506587.18333333335,6162.355891750506,0.012164452821728173,0.0899804068154578,0.10696375336656512,False
TGS2611_auc,1555595.5472222222,184276.80334459947,0.11846061379749809,0.09326276889415133,0.004110997691141309,False
